Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1
C0001,7,35.38,6.49,4.68,148,17.3,0,0
C0002,20,35.68,6.46,5.04,101,20.4,0,0
C0003,29,34.87,6.84,4.73,206,18.5,0,0
C0004,15,36.22,6.69,4.48,96,23.5,0,0
C0005,11,35.46,6.56,5.0,142,23.9,0,0
C0006,8,36.06,6.7,4.63,108,22.6,0,0
C0007,29,35.67,6.39,4.86,173,20.9,0,0
C0008,21,38.48,6.89,7.33,733,6.9,0,1
C0009,7,35.78,6.68,4.51,129,16.4,0,0
C0010,26,35.72,6.74,4.73,184,25.8,0,0
C0011,19,35.82,6.55,4.7,151,17.7,0,0
C0012,23,38.37,6.93,6.29,762,10.8,1,1
C0013,11,35.6,6.56,4.62,111,23.2,0,0
C0014,11,35.85,6.68,4.15,94,18.3,0,0
C0015,24,37.88,7.03,6.47,597,5.5,0,1
C0016,21,37.58,7.3,6.68,685,15.0,1,1
C0017,4,39.09,7.05,6.33,777,12.5,1,1
C0018,8,36.4,6.72,4.63,147,18.6,0,0
C0019,24,35.48,6.74,5.0,158,16.1,0,0
C0020,3,34.78,6.63,4.49,85,18.5,0,0
C0021,22,35.56,6.65,4.24,226,20.6,0,0
C0022,21,35.16,6.51,4.65,143,20.2,0,0
C0023,2,35.92,6.62,4.55,178,18.8,0,0
C0024,24,38.1,7.28,5.76,544,7.4,1,1
C0025,12,35.28,6.91,4.65,162,21.4,0,0
C0026,30,34.56,6.54,4.85,98,25.9,0,0
C0027,6,35.27,6.8,4.7,168,21.4,0,0
C0028,2,34.29,6.75,4.79,136,21.8,0,0
C0029,28,34.71,6.68,5.24,151,21.7,0,0
C0030,21,35.88,6.83,4.6,178,21.2,0,0
C0031,1,35.89,6.69,4.78,101,22.8,0,0
C0032,12,35.71,6.69,4.55,123,21.2,0,0
C0033,26,35.02,6.64,4.45,168,19.1,0,0
C0034,22,35.48,6.77,4.52,234,17.6,0,0
C0035,29,38.04,7.21,7.08,791,9.1,1,1
C0036,12,34.92,6.59,4.81,174,20.9,0,0
C0037,25,36.25,6.52,5.4,146,19.1,0,0
C0038,17,37.62,7.11,6.83,569,10.3,1,1
C0039,27,35.39,6.57,4.58,80,21.3,0,0
C0040,27,38.67,7.11,8.0,632,10.9,1,1
C0041,10,35.6,6.77,4.82,85,23.8,0,0
C0042,28,38.06,7.02,7.14,459,8.2,1,1
C0043,28,35.38,6.65,5.09,162,16.1,0,0
C0044,16,38.34,7.09,7.08,525,9.2,1,1
C0045,15,35.0,6.73,3.98,139,20.1,0,0
C0046,30,37.62,6.96,6.78,759,11.0,0,1
C0047,30,36.4,6.59,5.03,274,24.2,0,0
C0048,15,35.82,6.67,4.23,140,20.4,0,0
C0049,30,38.54,7.33,7.2,388,13.4,1,1
C0050,19,35.79,6.6,4.87,124,24.1,0,0
C0051,12,36.2,6.46,4.77,162,18.1,0,0
C0052,23,35.96,6.71,4.37,140,21.7,0,0
C0053,20,35.53,6.59,4.4,134,19.7,0,0
C0054,25,35.18,6.53,4.41,223,19.4,0,0
C0055,3,35.85,6.59,4.73,197,17.7,0,0
C0056,5,37.21,6.85,6.16,396,8.1,1,1
C0057,19,35.95,6.59,4.85,58,18.9,0,0
C0058,7,35.82,6.43,3.84,136,22.1,0,0
C0059,21,37.21,7.08,6.43,506,6.8,1,1
C0060,9,38.45,7.3,6.73,624,9.7,1,1
C0061,7,36.16,6.72,4.62,194,23.2,0,0
C0062,18,35.6,6.54,4.54,208,20.3,0,0
C0063,4,36.54,6.63,4.94,159,19.3,0,0
C0064,25,35.16,6.65,4.14,116,21.2,0,0
C0065,28,36.37,6.71,4.71,53,26.9,0,0
C0066,14,35.6,6.72,4.87,177,14.7,0,0
C0067,18,35.17,6.58,5.26,117,22.3,0,0
C0068,26,35.26,6.66,4.56,157,17.3,0,0
C0069,9,37.89,6.97,6.88,427,8.6,1,1
C0070,26,37.51,7.05,7.0,573,6.3,1,1
C0071,21,35.76,6.72,3.98,151,18.7,0,0
C0072,2,35.21,6.73,4.95,161,20.0,0,0
C0073,20,35.49,6.66,4.7,105,16.6,0,0
C0074,28,37.67,7.14,6.0,595,9.9,1,1
C0075,15,36.36,6.69,4.29,126,14.6,0,0
C0076,28,35.72,6.56,4.86,83,21.6,0,0
C0077,7,37.45,7.13,6.28,645,8.1,0,1
C0078,12,38.71,7.24,6.58,775,13.4,1,1
C0079,29,37.95,7.14,7.44,529,8.5,0,1
C0080,8,34.99,6.6,4.7,204,15.3,0,0
C0081,15,35.37,6.68,4.23,141,20.1,0,0
C0082,3,34.67,6.7,5.11,145,15.7,0,0
C0083,14,38.48,7.15,7.17,553,4.9,1,1
C0084,17,38.14,7.09,7.07,509,7.8,1,1
C0085,4,35.26,6.82,4.23,157,18.6,0,0
C0086,18,36.29,6.76,4.35,133,20.9,0,0
C0087,8,34.89,6.67,5.13,74,17.7,0,0
C0088,4,38.05,6.97,6.46,443,7.0,1,1
C0089,2,37.98,6.97,7.61,552,12.2,1,1
C0090,30,36.02,6.69,4.68,126,21.9,0,0
C0091,6,36.34,6.83,4.15,164,25.3,0,0
